LINE: 333 | tid: 1 wid: 0 | i: 0 j: 2 bk: 0 | k: 6 | 0.007866 0.007866 0.000062 | 176249 10.904962 
LINE: 333 | tid: 0 wid: 0 | i: 0 j: 2 bk: 0 | k: 7 | 0.007866 0.007866 0.000062 | 158703 9.819347 
LINE: 333 | tid: 1 wid: 0 | i: 0 j: 2 bk: 0 | k: 7 | 0.007866 0.007866 0.000062 | 141777 8.772094 
LINE: 333 | tid: 0 wid: 0 | i: 0 j: 3 bk: 0 | k: 0 | 0.007866 0.007866 0.000062 | 122376 7.571706 
LINE: 333 | tid: 1 wid: 0 | i: 0 j: 3 bk: 0 | k: 0 | 0.007866 0.007866 0.000062 | 105101 6.502859 
LINE: 333 | tid: 0 wid: 0 | i: 0 j: 3 bk: 0 | k: 1 | 0.007866 0.007866 0.000062 | 117384 7.262838 
LINE: 333 | tid: 1 wid: 0 | i: 0 j: 3 bk: 0 | k: 1 | 0.007866 0.007866 0.000062 | 113956 7.050740 
LINE: 333 | tid: 0 wid: 0 | i: 0 j: 3 bk: 0 | k: 2 | 0.007866 0.007866 0.000062 | 140585 8.698341 
LINE: 333 | tid: 1 wid: 0 | i: 0 j: 3 bk: 0 | k: 2 | 0.007866 0.007866 0.000062 | 109737 6.789700 
LINE: 333 | tid: 0 wid: 0 | i: 0 j: 3 bk: 0 | k: 3 | 0.007866 0.007866 0.000062 | 141837 8.775806 
LINE: 333 | tid: 1 wid: 0 | i: 0 j: 3 bk: 0 | k: 3 | 0.007866 0.007866 0.000062 | 132963 8.226749 
LINE: 333 | tid: 0 wid: 0 | i: 0 j: 3 bk: 0 | k: 4 | 0.007866 0.007866 0.000062 | 103319 6.392602 
LINE: 333 | tid: 1 wid: 0 | i: 0 j: 3 bk: 0 | k: 4 | 0.007866 0.007866 0.000062 | 128146 7.928710 
LINE: 333 | tid: 0 wid: 0 | i: 0 j: 3 bk: 0 | k: 5 | 0.007866 0.007866 0.000062 | 131702 8.148728 
LINE: 333 | tid: 1 wid: 0 | i: 0 j: 3 bk: 0 | k: 5 | 0.007866 0.007866 0.000062 | 113176 7.002479 
LINE: 333 | tid: 0 wid: 0 | i: 0 j: 3 bk: 0 | k: 6 | 0.007866 0.007866 0.000062 | 135066 8.356868 
LINE: 333 | tid: 1 wid: 0 | i: 0 j: 3 bk: 0 | k: 6 | 0.007866 0.007866 0.000062 | 130837 8.095209 
LINE: 333 | tid: 0 wid: 0 | i: 0 j: 3 bk: 0 | k: 7 | 0.007866 0.007866 0.000062 | 156511 9.683722 
LINE: 333 | tid: 1 wid: 0 | i: 0 j: 3 bk: 0 | k: 7 | 0.007866 0.007866 0.000062 | 132577 8.202867 
LINE: 333 | tid: 0 wid: 0 | i: 1 j: 0 bk: 0 | k: 0 | 0.007866 0.007874 0.000062 | 101962 6.314760 
LINE: 333 | tid: 1 wid: 0 | i: 1 j: 0 bk: 0 | k: 0 | 0.007866 0.007874 0.000062 | 111571 6.909869 
LINE: 333 | tid: 0 wid: 0 | i: 1 j: 0 bk: 0 | k: 1 | 0.007866 0.007874 0.000062 | 104676 6.482845 
LINE: 333 | tid: 1 wid: 0 | i: 1 j: 0 bk: 0 | k: 1 | 0.007866 0.007874 0.000062 | 123458 7.646061 
LINE: 333 | tid: 0 wid: 0 | i: 1 j: 0 bk: 0 | k: 2 | 0.007866 0.007874 0.000062 | 115736 7.167818 
LINE: 333 | tid: 1 wid: 0 | i: 1 j: 0 bk: 0 | k: 2 | 0.007866 0.007874 0.000062 | 136471 8.451988 
LINE: 333 | tid: 0 wid: 0 | i: 1 j: 0 bk: 0 | k: 3 | 0.007866 0.007874 0.000062 | 115433 7.149053 
LINE: 333 | tid: 1 wid: 0 | i: 1 j: 0 bk: 0 | k: 3 | 0.007866 0.007874 0.000062 | 150338 9.310806 
LINE: 333 | tid: 0 wid: 0 | i: 1 j: 0 bk: 0 | k: 4 | 0.007866 0.007874 0.000062 | 113140 7.007041 
LINE: 333 | tid: 1 wid: 0 | i: 1 j: 0 bk: 0 | k: 4 | 0.007866 0.007874 0.000062 | 128075 7.932003 
LINE: 333 | tid: 0 wid: 0 | i: 1 j: 0 bk: 0 | k: 5 | 0.007866 0.007874 0.000062 | 121937 7.551861 
LINE: 333 | tid: 1 wid: 0 | i: 1 j: 0 bk: 0 | k: 5 | 0.007866 0.007874 0.000062 | 130570 8.086525 
LINE: 333 | tid: 0 wid: 0 | i: 1 j: 0 bk: 0 | k: 6 | 0.007866 0.007874 0.000062 | 128605 7.964828 
LINE: 333 | tid: 1 wid: 0 | i: 1 j: 0 bk: 0 | k: 6 | 0.007866 0.007874 0.000062 | 145466 9.009071 
LINE: 333 | tid: 0 wid: 0 | i: 1 j: 0 bk: 0 | k: 7 | 0.007866 0.007874 0.000062 | 135507 8.392285 
LINE: 333 | tid: 1 wid: 0 | i: 1 j: 0 bk: 0 | k: 7 | 0.007866 0.007874 0.000062 | 143857 8.909422 
LINE: 333 | tid: 0 wid: 0 | i: 1 j: 1 bk: 0 | k: 0 | 0.007866 0.007874 0.000062 | 115463 7.150910 
LINE: 333 | tid: 1 wid: 0 | i: 1 j: 1 bk: 0 | k: 0 | 0.007866 0.007874 0.000062 | 120016 7.432889 
LINE: 333 | tid: 0 wid: 0 | i: 1 j: 1 bk: 0 | k: 1 | 0.007866 0.007874 0.000062 | 91408 5.661125 
LINE: 333 | tid: 1 wid: 0 | i: 1 j: 1 bk: 0 | k: 1 | 0.007866 0.007874 0.000062 | 125994 7.803122 
LINE: 333 | tid: 0 wid: 0 | i: 1 j: 1 bk: 0 | k: 2 | 0.007866 0.007874 0.000062 | 125846 7.793956 
LINE: 333 | tid: 1 wid: 0 | i: 1 j: 1 bk: 0 | k: 2 | 0.007866 0.007874 0.000062 | 151293 9.369951 
LINE: 333 | tid: 0 wid: 0 | i: 1 j: 1 bk: 0 | k: 3 | 0.007866 0.007874 0.000062 | 116595 7.221018 
